"ID","habit_score","group","typeMeasure","Cluster"
"103",0.800176787015933,"Short training","changeBehavior","Goal-directed"
"104",0.295728531966918,"Short training","changeBehavior","Habitual"
"106",0.0106135284540656,"Short training","changeBehavior","Habitual"
"107",1.24679677929625,"Short training","changeBehavior","Goal-directed"
"108",0.134316089974799,"Short training","changeBehavior","Habitual"
"110",-0.0622622737525851,"Short training","changeBehavior","Habitual"
"113",0.219531728408498,"Short training","changeBehavior","Habitual"
"114",-0.0555854595748996,"Short training","changeBehavior","Habitual"
"115",-0.216615357265147,"Short training","changeBehavior","Habitual"
"117",0.266691045796094,"Short training","changeBehavior","Habitual"
"118",0.310239046300916,"Short training","changeBehavior","Habitual"
"119",2.29557461288722,"Short training","changeBehavior","Goal-directed"
"120",2.42509062960734,"Short training","changeBehavior","Goal-directed"
"121",0.019455208034719,"Short training","changeBehavior","Habitual"
"122",-0.0751758628834129,"Short training","changeBehavior","Habitual"
"124",1.54863050326116,"Short training","changeBehavior","Goal-directed"
"126",0.00368393603927775,"Short training","changeBehavior","Habitual"
"127",1.35014307816737,"Short training","changeBehavior","Goal-directed"
"128",1.23367709018292,"Short training","changeBehavior","Goal-directed"
"129",-0.122673248651964,"Short training","changeBehavior","Habitual"
"130",0.480849315382779,"Short training","changeBehavior","Habitual"
"131",2.59474944251423,"Short training","changeBehavior","Goal-directed"
"133",1.05989897880822,"Short training","changeBehavior","Goal-directed"
"135",1.45239391642805,"Short training","changeBehavior","Goal-directed"
"137",1.43029744582878,"Short training","changeBehavior","Goal-directed"
"138",0.44790503468301,"Short training","changeBehavior","Habitual"
"139",1.51759390497157,"Short training","changeBehavior","Goal-directed"
"140",2.79318145610995,"Short training","changeBehavior","Goal-directed"
"141",0.0258875859134404,"Short training","changeBehavior","Habitual"
"142",0.0682687703724234,"Short training","changeBehavior","Habitual"
"143",0.0466300063521952,"Short training","changeBehavior","Habitual"
"144",0.710880238106687,"Short training","changeBehavior","Goal-directed"
"145",3.5345934311015,"Short training","changeBehavior","Goal-directed"
"146",0.0579469712193155,"Short training","changeBehavior","Habitual"
"147",-0.149831509162297,"Short training","changeBehavior","Habitual"
"148",-0.178965451430634,"Short training","changeBehavior","Habitual"
"149",0.139187683731238,"Short training","changeBehavior","Habitual"
"150",0.0509864472158832,"Short training","changeBehavior","Habitual"
"151",3.39772471343304,"Short training","changeBehavior","Goal-directed"
"152",0.0584133882643556,"Short training","changeBehavior","Habitual"
"153",0.208914775920519,"Short training","changeBehavior","Habitual"
"154",1.73608406145006,"Short training","changeBehavior","Goal-directed"
"155",-0.0856236404456965,"Short training","changeBehavior","Habitual"
"156",0.353084967668594,"Short training","changeBehavior","Habitual"
"157",0.673483665343194,"Short training","changeBehavior","Goal-directed"
"158",1.30477376313149,"Short training","changeBehavior","Goal-directed"
"159",4.94046883019631,"Short training","changeBehavior","Goal-directed"
"160",0.217655912600505,"Short training","changeBehavior","Habitual"
"161",1.27565998732643,"Short training","changeBehavior","Goal-directed"
"162",-0.234755487247626,"Short training","changeBehavior","Habitual"
"163",3.93469488635957,"Short training","changeBehavior","Goal-directed"
"164",0.0472896961159175,"Short training","changeBehavior","Habitual"
"166",0.357268639978079,"Short training","changeBehavior","Habitual"
"167",-0.216266796813521,"Short training","changeBehavior","Habitual"
"168",2.08438241325235,"Short training","changeBehavior","Goal-directed"
"169",0.903076999105764,"Short training","changeBehavior","Goal-directed"
"171",0.848415720249757,"Short training","changeBehavior","Goal-directed"
"172",0.230872765076042,"Short training","changeBehavior","Habitual"
"174",1.18838616741797,"Short training","changeBehavior","Goal-directed"
"175",0.719780376678987,"Short training","changeBehavior","Goal-directed"
"204",-0.0274320497315657,"Extensive training","changeBehavior","Habitual"
"205",-0.189610488573645,"Extensive training","changeBehavior","Habitual"
"207",0.0293851150056073,"Extensive training","changeBehavior","Habitual"
"208",4.4968193860319,"Extensive training","changeBehavior","Goal-directed"
"209",0.398031145760534,"Extensive training","changeBehavior","Habitual"
"210",0.0349744366895117,"Extensive training","changeBehavior","Habitual"
"211",0.125548294744626,"Extensive training","changeBehavior","Habitual"
"212",-0.547345900646639,"Extensive training","changeBehavior","Habitual"
"214",4.26885192403887,"Extensive training","changeBehavior","Goal-directed"
"215",0.23904315282575,"Extensive training","changeBehavior","Habitual"
"217",0.99800560954521,"Extensive training","changeBehavior","Goal-directed"
"218",-0.249728445246295,"Extensive training","changeBehavior","Habitual"
"220",2.51148136575802,"Extensive training","changeBehavior","Goal-directed"
"221",1.92405461009802,"Extensive training","changeBehavior","Goal-directed"
"223",1.87019754482782,"Extensive training","changeBehavior","Goal-directed"
"224",3.92297313915349,"Extensive training","changeBehavior","Goal-directed"
"225",2.61083783361137,"Extensive training","changeBehavior","Goal-directed"
"227",2.68544383447117,"Extensive training","changeBehavior","Goal-directed"
"229",0.145185433563948,"Extensive training","changeBehavior","Habitual"
"230",0.445171747930405,"Extensive training","changeBehavior","Habitual"
"232",-0.366331652032971,"Extensive training","changeBehavior","Habitual"
"234",3.2831390481571,"Extensive training","changeBehavior","Goal-directed"
"235",1.61025427692058,"Extensive training","changeBehavior","Goal-directed"
"238",1.23707083917859,"Extensive training","changeBehavior","Goal-directed"
"239",0.198187859850125,"Extensive training","changeBehavior","Habitual"
"240",-0.358437233740584,"Extensive training","changeBehavior","Habitual"
"241",0.581609008903333,"Extensive training","changeBehavior","Goal-directed"
"242",1.03899859464342,"Extensive training","changeBehavior","Goal-directed"
"243",-0.489965383824264,"Extensive training","changeBehavior","Habitual"
"245",0.147097165314574,"Extensive training","changeBehavior","Habitual"
"247",0.431371485386206,"Extensive training","changeBehavior","Habitual"
"249",-0.133420655315858,"Extensive training","changeBehavior","Habitual"
"251",-0.202225451467901,"Extensive training","changeBehavior","Habitual"
"252",0.104320479003146,"Extensive training","changeBehavior","Habitual"
"254",0.325189667523026,"Extensive training","changeBehavior","Habitual"
"255",1.24969070983307,"Extensive training","changeBehavior","Goal-directed"
"257",-0.215890709445859,"Extensive training","changeBehavior","Habitual"
"258",0.00380464130810276,"Extensive training","changeBehavior","Habitual"
"259",0.780005429901753,"Extensive training","changeBehavior","Goal-directed"
"260",0.0675073236726469,"Extensive training","changeBehavior","Habitual"
"261",0.339370361356687,"Extensive training","changeBehavior","Habitual"
"262",-0.0668552202242552,"Extensive training","changeBehavior","Habitual"
"263",-0.338069446518982,"Extensive training","changeBehavior","Habitual"
"264",-0.0273997420202208,"Extensive training","changeBehavior","Habitual"
"265",-0.130725400762592,"Extensive training","changeBehavior","Habitual"
"267",4.26545572625089,"Extensive training","changeBehavior","Goal-directed"
"270",-0.0628894062776766,"Extensive training","changeBehavior","Habitual"
"271",0.274304090007539,"Extensive training","changeBehavior","Habitual"
"272",-0.292503388088467,"Extensive training","changeBehavior","Habitual"
"276",2.66447402319444,"Extensive training","changeBehavior","Goal-directed"
"277",2.22463735968498,"Extensive training","changeBehavior","Goal-directed"
"280",4.48324104505384,"Extensive training","changeBehavior","Goal-directed"
"281",0.361870261867981,"Extensive training","changeBehavior","Habitual"
"282",-0.531782042018528,"Extensive training","changeBehavior","Habitual"
"283",-0.0287210641642575,"Extensive training","changeBehavior","Habitual"
"284",0.696880389332584,"Extensive training","changeBehavior","Goal-directed"
"285",-0.0486438405723808,"Extensive training","changeBehavior","Habitual"
